FileName,GroupSize,FoodType,Treatment,SizeType,Group
Networks-10-26-1,18,C,B,S,CBS
Networks-10-28-1,18,C,T,S,CTS
Networks-11-1-1,17,C,B,S,CBS
Networks-11-6-1,17,C,T,S,CTS
Networks-11-8-1,19,C,B,S,CBS
Networks-11-12-1,16,C,T,S,CTS
Networks-11-16-1,16,C,T,S,CTS
Networks-11-19-1,16,C,B,S,CBS
Networks-11-22-1,30,C,B,L,CBL
Networks-11-30-1,29,C,B,L,CBL
Networks-12-5-1,28,C,B,L,CBL
Networks-12-9-1,27,C,T,L,CTL
Networks-12-27-1,27,C,T,L,CTL
Networks-12-31-1,27,C,T,L,CTL
Networks-1-18-1,16,P,T,S,PTS
Networks-1-21-1,15,P,T,S,PTS
Networks-1-26-1,15,P,T,S,PTS
Networks-2-8-1,27,P,T,L,PTL
Networks-2-9-1,26,P,T,L,PTL
Networks-2-23-1,26,P,T,L,PTL
Networks-3-4-1,15,P,B,S,PBS
Networks-4-25-1,12,P,B,S,PBS
Networks-5-27-1,13,C,T,S,CTS
Networks-5-31-1,15,C,T,S,CTS
Networks-6-1-1,28,C,T,L,CTL
Networks-6-1-2,15,C,T,S,CTS
Networks-6-2-1,28,C,T,L,CTL
Networks-6-3-1,27,C,T,L,CTL
Networks-6-6-1,17,C,B,S,CBS
Networks-6-6-2,16,C,B,S,CBS
Networks-6-7-1,15,C,B,S,CBS
Networks-6-7-2,27,C,B,L,CBL
Networks-6-8-1,26,C,B,L,CBL
Networks-6-9-1,27,C,B,L,CBL
Networks-6-13-1,17,P,T,S,PTS
Networks-6-13-2,17,P,T,S,PTS
Networks-6-14-1,16,P,T,S,PTS
Networks-6-14-2,16,P,T,S,PTS
Networks-6-17-1,27,P,T,L,PTL
Networks-6-21-1,27,P,T,L,PTL
Networks-6-21-2,16,P,B,S,PBS
Networks-6-21-3,16,P,B,S,PBS
Networks-6-22-1,16,P,B,S,PBS
Networks-6-22-2,27,P,B,L,PBL
Networks-6-24-1,27,P,B,L,PBL
Networks-6-24-2,28,P,B,L,PBL
